Date,Demographic_category,Administered_Dose1,Administered_Dose1_pct_known,Administered_Dose1_pct_US,Series_Complete_Yes,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Series_Complete_Pop_Pct_known,Series_Complete_Pop_Pct_US,Booster_Doses_Vax_pct_agegroup,Booster_Doses_Pop_Pct_known,Booster_Doses_Vax_Pct_US,Booster_Doses_Pop_Pct_known_Last14Days,Booster_Doses_Yes,Booster_Doses_Yes_Last14Days
3/4/22,Sex_Female,131445149,52.2,51.7,112504574,78,66.7,52.4,52,47.8,54.7,52.5,56.4,52027887,832392
3/4/22,Ages_40-49_yrs,34980471,13.8,13.8,30075619,85.8,73.7,13.9,13.9,41.9,13.2,14.4,15,12611762,222440
3/4/22,Age_unknown,25739,0,0,5954,,,0,0,0,0,0,0,0,0
3/4/22,Age_known,254079096,99.9,99.9,216171068,,,99.9,99.9,45.6,99.9,99.9,99.9,95210587,1479848
3/4/22,Race_eth_NHAsian,12607459,6.7,5,11402391,66.4,60,6.8,5.3,66.4,8.3,6.6,9.3,7085066,123679
3/4/22,Race_eth_NHWhite,104417240,55.3,41.1,94452696,52.9,47.9,56.3,43.7,57.5,61.9,56.7,41.8,52661970,553635
3/4/22,Sex_Male,120399694,47.8,47.4,102142323,73.7,62.5,47.6,47.2,43.7,45.3,47.5,43.6,43006278,644773
3/4/22,Ages_<12yrs,9640982,3.8,3.8,7586084,19.9,15.6,3.5,3.5,0,0,0,0,0,0
3/4/22,Race_eth_NHMult_Oth,11251800,6,4.4,10006189,95,95,6,4.6,53.8,6,5.9,6.3,5111131,83440
3/4/22,Race_eth_NHNHOPI,601771,0.3,0.2,541639,64.8,58.3,0.3,0.3,43.1,0.3,0.3,0.6,221507,7932
3/3/22,Sex_known,251790558,99.9,99.1,214586517,,,99.9,99.3,45.9,99.9,99.9,99.9,94936703,1497034
3/3/22,Ages_65-74_yrs,33473461,13.2,13.2,29080435,95,91.2,13.5,13.5,65,19.9,13.9,8.7,18904666,131024
3/3/22,Ages_<12yrs,9627039,3.8,3.8,7563930,19.9,15.6,3.5,3.5,0,0,0,0,0,0
3/3/22,Race_eth_unknown,65198041,34.5,25.7,48327160,,,28.8,22.4,21.5,12,29.2,11.6,10154085,156394
3/3/22,Ages_12-15_yrs,11162668,4.4,4.4,9487428,66,56.1,4.4,4.4,18.9,1.9,4.5,9,1796018,135012
